US dollars per tonne;Northwest Europe marker price †;US Central Appalachian coal spot price index ‡;Japan steam spot CIF price  †;China Qinhuangdao spot price*;Japan coking coal import CIF price;Japan steam coal import CIF price;Asian marker price †
1987;31,30;-;-;-;53,44;41,28;-
1988;39,94;-;-;-;55,06;42,47;-
1989;42,08;-;-;-;58,68;48,86;-
1990;43,48;31,59;-;-;60,54;50,81;-
1991;42,80;29,01;-;-;60,45;50,30;-
1992;38,53;28,53;-;-;57,82;48,45;-
1993;33,68;29,85;-;-;55,26;45,71;-
1994;37,18;31,72;-;-;51,77;43,66;-
1995;44,50;27,01;-;-;54,47;47,58;-
1996;41,25;29,86;-;-;56,68;49,54;-
1997;38,92;29,76;-;-;55,51;45,53;-
1998;32,00;31,00;-;-;50,76;40,51;29,48
1999;28,79;31,29;-;-;42,83;35,74;27,82
2000;35,99;29,90;-;27,52;39,69;34,58;31,76
2001;39,03;50,15;37,69;31,78;41,33;37,96;36,89
2002;31,65;33,20;31,47;33,19;42,01;36,90;30,41
2003;43,60;38,52;39,61;31,74;41,57;34,74;36,53
2004;72,13;64,90;74,22;42,76;60,96;51,34;72,42
2005;60,54;70,12;64,62;51,34;89,33;62,91;61,84
2006;64,11;57,82;65,22;53,53;93,46;63,04;56,47
2007;88,79;49,73;95,59;61,23;88,24;69,86;84,57
2008;147,67;117,42;157,88;104,97;179,03;122,81;148,06
2009;70,39;60,73;83,59;87,86;167,82;110,11;78,81
2010;92,35;67,87;108,47;110,08;158,95;105,19;105,43
2011;121,48;84,75;126,13;127,27;229,12;136,21;125,74
2012;92,50;67,28;100,30;111,89;191,46;133,61;105,50
2013;81,69;69,72;90,07;95,42;140,45;111,16;90,90
2014;75,38;67,08;76,13;84,12;114,41;97,65;77,89
2015;56,79;51,57;60,10;67,53;93,85;79,47;63,52
2016;59,87;51,45;71,66;71,35;89,40;72,97;71,12
2017;84,51;63,83;95,57;94,72;150,00;99,16;99,42
2018;91,83;72,84;112,73;99,45;158,49;117,39;111,69
2019;60,86;57,16;77,63;85,89;148,52;108,58;80,81