,date,dlaan_nom,statskvl_3m_eff,statskvl_12m_eff,statsobl_10y_eff
0,1986-01-01,12.02,ND,ND,13.49
1,1986-02-01,13.57,ND,ND,13.48
2,1986-03-01,13.0,ND,ND,13.37
3,1986-04-01,13.0,ND,ND,13.05
4,1986-05-01,19.47,ND,ND,13.02
5,1986-06-01,14.0,ND,ND,13.27
6,1986-07-01,14.0,ND,ND,13.35
7,1986-08-01,14.0,ND,ND,13.35
8,1986-09-01,14.0,ND,ND,13.21
9,1986-10-01,14.0,ND,ND,13.12
10,1986-11-01,14.0,ND,ND,13.25
11,1986-12-01,15.37,ND,ND,13.63
12,1987-01-01,14.76,ND,ND,13.55
13,1987-02-01,14.02,ND,ND,13.41
14,1987-03-01,13.8,ND,ND,13.4
15,1987-04-01,13.8,ND,ND,13.38
16,1987-05-01,13.8,ND,ND,13.43
17,1987-06-01,13.8,ND,ND,13.46
18,1987-07-01,13.8,ND,ND,13.43
19,1987-08-01,13.8,ND,ND,13.27
20,1987-09-01,13.8,ND,ND,12.77
21,1987-10-01,13.8,ND,ND,12.95
22,1987-11-01,13.8,ND,ND,13.27
23,1987-12-01,13.8,ND,ND,13.34
24,1988-01-01,13.8,ND,ND,13.38
25,1988-02-01,13.8,ND,ND,13.33
26,1988-03-01,13.8,ND,ND,13.25
27,1988-04-01,13.8,ND,ND,13.18
28,1988-05-01,13.43,ND,ND,13.06
29,1988-06-01,12.96,ND,ND,12.81
30,1988-07-01,12.8,ND,ND,12.75
31,1988-08-01,12.8,ND,ND,12.85
32,1988-09-01,12.8,ND,ND,12.9
33,1988-10-01,12.69,ND,ND,12.78
34,1988-11-01,12.4,ND,ND,12.49
35,1988-12-01,12.04,ND,ND,11.97
36,1989-01-01,11.64,ND,ND,11.33
37,1989-02-01,11.23,ND,ND,10.77
38,1989-03-01,11.0,ND,ND,10.79
39,1989-04-01,11.0,ND,ND,10.78
40,1989-05-01,10.61,ND,ND,10.59
41,1989-06-01,10.34,ND,ND,10.77
42,1989-07-01,10.0,ND,ND,10.83
43,1989-08-01,10.0,ND,ND,10.83
44,1989-09-01,10.0,ND,ND,10.62
45,1989-10-01,10.0,ND,ND,10.66
46,1989-11-01,10.5,ND,ND,10.95
47,1989-12-01,11.0,ND,ND,10.99
48,1990-01-01,11.0,ND,ND,10.72
49,1990-02-01,11.0,ND,ND,10.57
50,1990-03-01,11.0,ND,ND,10.7
51,1990-04-01,11.0,ND,ND,10.94
52,1990-05-01,11.0,ND,ND,10.8
53,1990-06-01,11.0,ND,ND,10.76
54,1990-07-01,11.0,ND,ND,10.66
55,1990-08-01,10.89,ND,ND,10.58
56,1990-09-01,10.5,ND,ND,10.57
57,1990-10-01,10.5,ND,ND,10.61
58,1990-11-01,10.5,ND,ND,10.64
59,1990-12-01,10.5,ND,ND,10.61
60,1991-01-01,10.5,ND,ND,10.57
61,1991-02-01,10.5,ND,ND,10.45
62,1991-03-01,10.37,ND,ND,10.4
63,1991-04-01,10.04,ND,ND,10.17
64,1991-05-01,9.7,ND,ND,9.89
65,1991-06-01,9.5,ND,ND,9.77
66,1991-07-01,9.5,ND,ND,9.75
67,1991-08-01,9.5,ND,ND,9.71
68,1991-09-01,9.69,ND,ND,9.75
69,1991-10-01,10.0,ND,ND,9.88
70,1991-11-01,10.0,ND,ND,9.83
71,1991-12-01,10.0,ND,ND,9.79
72,1992-01-01,10.0,ND,ND,9.52
73,1992-02-01,10.0,ND,ND,9.32
74,1992-03-01,10.0,ND,ND,9.34
75,1992-04-01,10.0,ND,ND,9.38
76,1992-05-01,10.0,ND,ND,9.37
77,1992-06-01,10.0,ND,ND,9.46
78,1992-07-01,10.0,ND,ND,9.55
79,1992-08-01,10.0,ND,ND,9.87
80,1992-09-01,10.8,ND,ND,10.24
81,1992-10-01,11.0,ND,ND,10.2
82,1992-11-01,14.36,ND,ND,9.61
83,1992-12-01,12.86,ND,ND,9.42
84,1993-01-01,10.3,ND,ND,8.93
85,1993-02-01,9.53,ND,ND,8.39
86,1993-03-01,8.9,ND,ND,7.67
87,1993-04-01,8.29,ND,ND,7.4
88,1993-05-01,7.69,ND,ND,7.12
89,1993-06-01,7.5,ND,ND,6.81
90,1993-07-01,7.5,ND,ND,6.65
91,1993-08-01,7.5,ND,ND,6.16
92,1993-09-01,7.5,ND,ND,6.1
93,1993-10-01,7.4,ND,ND,5.9
94,1993-11-01,6.91,ND,ND,5.75
95,1993-12-01,6.77,ND,ND,5.69
96,1994-01-01,7.0,ND,ND,5.56
97,1994-02-01,6.83,ND,ND,5.55
98,1994-03-01,6.75,ND,ND,6.11
99,1994-04-01,6.75,ND,ND,6.59
100,1994-05-01,6.75,ND,ND,7.23
101,1994-06-01,6.75,ND,ND,8.08
102,1994-07-01,6.75,ND,ND,7.7
103,1994-08-01,6.75,ND,ND,8.15
104,1994-09-01,6.75,ND,ND,8.9
105,1994-10-01,6.75,ND,ND,8.71
106,1994-11-01,6.75,ND,ND,8.63
107,1994-12-01,6.75,ND,ND,8.02
108,1995-01-01,6.75,ND,ND,8.16
109,1995-02-01,6.75,ND,ND,8.0
110,1995-03-01,6.75,ND,ND,7.98
111,1995-04-01,6.75,ND,ND,7.75
112,1995-05-01,6.75,ND,ND,7.47
113,1995-06-01,6.75,ND,ND,7.55
114,1995-07-01,6.75,ND,ND,7.57
115,1995-08-01,6.75,ND,ND,7.41
116,1995-09-01,6.75,ND,ND,7.08
117,1995-10-01,6.75,ND,ND,6.96
118,1995-11-01,6.75,ND,ND,6.7
119,1995-12-01,6.75,ND,ND,6.46
120,1996-01-01,6.75,ND,ND,6.39
121,1996-02-01,6.75,ND,ND,6.79
122,1996-03-01,6.56,ND,ND,6.85
123,1996-04-01,6.5,ND,ND,6.71
124,1996-05-01,6.5,ND,ND,6.9
125,1996-06-01,6.5,ND,ND,7.05
126,1996-07-01,6.5,ND,ND,7.02
127,1996-08-01,6.5,ND,ND,6.97
128,1996-09-01,6.5,ND,ND,7.02
129,1996-10-01,6.5,ND,ND,6.75
130,1996-11-01,6.07,ND,ND,6.5
131,1996-12-01,6.0,ND,ND,6.33
132,1997-01-01,5.43,ND,ND,6.03
133,1997-02-01,5.25,ND,ND,5.65
134,1997-03-01,5.25,ND,ND,5.94
135,1997-04-01,5.25,ND,ND,6.19
136,1997-05-01,5.25,ND,ND,6.03
137,1997-06-01,5.25,ND,ND,5.95
138,1997-07-01,5.38,ND,ND,5.95
139,1997-08-01,5.5,ND,ND,6.06
140,1997-09-01,5.5,ND,ND,5.89
141,1997-10-01,5.5,ND,ND,5.75
142,1997-11-01,5.5,ND,ND,5.72
143,1997-12-01,5.5,ND,ND,5.5
144,1998-01-01,5.5,ND,ND,5.33
145,1998-02-01,5.5,ND,ND,5.29
146,1998-03-01,5.6,ND,ND,5.28
147,1998-04-01,5.75,ND,ND,5.33
148,1998-05-01,5.88,ND,ND,5.5
149,1998-06-01,6.27,ND,ND,5.47
150,1998-07-01,6.93,ND,ND,5.4
151,1998-08-01,8.07,ND,ND,5.47
152,1998-09-01,10.0,ND,ND,5.44
153,1998-10-01,10.0,ND,ND,5.48
154,1998-11-01,10.0,ND,ND,5.48
155,1998-12-01,10.0,ND,ND,5.33
156,1999-01-01,9.95,ND,ND,5.01
157,1999-02-01,9.5,ND,ND,4.75
158,1999-03-01,9.04,ND,ND,4.92
159,1999-04-01,8.87,ND,ND,4.69
160,1999-05-01,8.5,ND,ND,4.98
161,1999-06-01,8.27,ND,ND,5.45
162,1999-07-01,8.0,ND,ND,5.81
163,1999-08-01,8.0,ND,ND,5.97
164,1999-09-01,7.86,ND,ND,6.03
165,1999-10-01,7.5,ND,ND,6.27
166,1999-11-01,7.5,ND,ND,6.02
167,1999-12-01,7.5,ND,ND,6.07
168,2000-01-01,7.5,ND,ND,6.36
169,2000-02-01,7.5,ND,ND,6.33
170,2000-03-01,7.5,ND,ND,6.14
171,2000-04-01,7.63,ND,ND,6.09
172,2000-05-01,7.75,ND,ND,6.25
173,2000-06-01,8.05,ND,ND,6.09
174,2000-07-01,8.25,ND,ND,6.22
175,2000-08-01,8.6,ND,ND,6.18
176,2000-09-01,8.83,ND,ND,6.34
177,2000-10-01,9.0,ND,ND,6.37
178,2000-11-01,9.0,ND,ND,6.24
179,2000-12-01,9.0,ND,ND,6.01
180,2001-01-01,9.0,ND,ND,5.95
181,2001-02-01,9.0,ND,ND,5.96
182,2001-03-01,9.0,ND,ND,6.01
183,2001-04-01,9.0,ND,ND,6.22
184,2001-05-01,9.0,ND,ND,6.48
185,2001-06-01,9.0,ND,ND,6.59
186,2001-07-01,9.0,ND,ND,6.65
187,2001-08-01,9.0,ND,ND,6.45
188,2001-09-01,9.0,ND,ND,6.4
189,2001-10-01,9.0,ND,ND,6.1
190,2001-11-01,9.0,ND,ND,5.86
191,2001-12-01,8.71,ND,ND,6.17
192,2002-01-01,8.5,ND,ND,6.23
193,2002-02-01,8.5,ND,ND,6.35
194,2002-03-01,8.5,ND,ND,6.63
195,2002-04-01,8.5,ND,ND,6.71
196,2002-05-01,8.5,ND,ND,6.77
197,2002-06-01,8.5,ND,ND,6.78
198,2002-07-01,8.93,ND,ND,6.56
199,2002-08-01,9.0,ND,ND,6.31
200,2002-09-01,9.0,ND,ND,6.06
201,2002-10-01,9.0,ND,ND,6.16
202,2002-11-01,9.0,ND,ND,6.12
203,2002-12-01,8.7,ND,ND,5.93
204,2003-01-01,8.34,5.98,5.41,5.68
205,2003-02-01,8.0,5.68,5.03,5.32
206,2003-03-01,7.57,5.30,4.99,5.25
207,2003-04-01,7.5,5.13,4.77,5.31
208,2003-05-01,7.0,4.81,4.21,4.97
209,2003-06-01,6.85,3.98,3.40,4.5
210,2003-07-01,6.0,3.37,3.03,4.9
211,2003-08-01,5.38,3.05,3.01,5.01
212,2003-09-01,4.8,2.68,2.83,4.91
213,2003-10-01,4.5,2.66,2.97,4.94
214,2003-11-01,4.5,2.70,2.95,4.97
215,2003-12-01,4.42,2.44,2.59,4.78
216,2004-01-01,4.23,2.13,2.18,4.54
217,2004-02-01,4.0,2.01,1.89,4.29
218,2004-03-01,3.85,1.75,1.78,4.12
219,2004-04-01,3.75,1.77,2.08,4.67
220,2004-05-01,3.75,1.76,2.14,4.91
221,2004-06-01,3.75,1.78,2.19,4.72
222,2004-07-01,3.75,1.87,2.06,4.47
223,2004-08-01,3.75,1.84,2.03,4.29
224,2004-09-01,3.75,1.76,1.93,4.23
225,2004-10-01,3.75,1.83,1.98,4.19
226,2004-11-01,3.75,1.81,1.89,4.05
227,2004-12-01,3.75,1.78,1.95,3.94
228,2005-01-01,3.75,1.78,2.04,3.9
229,2005-02-01,3.75,1.78,2.01,3.77
230,2005-03-01,3.75,1.79,2.25,4.02
231,2005-04-01,3.75,1.83,2.28,3.87
232,2005-05-01,3.75,1.88,2.30,3.7
233,2005-06-01,3.75,1.89,2.29,3.55
234,2005-07-01,4.0,2.03,2.30,3.56
235,2005-08-01,4.0,2.09,2.41,3.62
236,2005-09-01,4.0,2.14,2.41,3.49
237,2005-10-01,4.0,2.19,2.54,3.68
238,2005-11-01,4.23,2.35,2.76,3.96
239,2005-12-01,4.25,2.33,2.83,3.83
240,2006-01-01,4.25,2.32,2.72,3.65
241,2006-02-01,4.25,2.40,2.71,3.72
242,2006-03-01,4.37,2.54,2.90,3.84
243,2006-04-01,4.5,2.66,3.02,4.07
244,2006-05-01,4.5,2.81,3.18,4.17
245,2006-06-01,4.75,2.91,3.35,4.26
246,2006-07-01,4.75,2.98,3.42,4.31
247,2006-08-01,4.87,3.12,3.54,4.2
248,2006-09-01,5.0,3.26,3.63,4.12
249,2006-10-01,5.0,3.38,3.79,4.18
250,2006-11-01,5.24,3.52,3.99,4.16
251,2006-12-01,5.38,3.63,4.17,4.24
252,2007-01-01,5.56,3.75,4.30,4.39
253,2007-02-01,5.75,4.02,4.50,4.52
254,2007-03-01,5.38,4.23,4.59,4.45
255,2007-04-01,5.0,4.35,4.75,4.71
256,2007-05-01,5.01,4.41,4.81,4.88
257,2007-06-01,5.27,4.54,4.97,5.19
258,2007-07-01,5.5,4.62,5.11,5.1
259,2007-08-01,5.63,4.73,5.00,4.91
260,2007-09-01,5.78,4.80,4.92,4.81
261,2007-10-01,6.0,5.04,5.13,4.91
262,2007-11-01,6.0,5.13,5.05,4.76
263,2007-12-01,6.14,5.05,4.97,4.66
264,2008-01-01,6.25,5.15,5.00,4.52
265,2008-02-01,6.25,5.33,5.09,4.39
266,2008-03-01,6.25,5.23,5.20,4.28
267,2008-04-01,6.31,5.38,5.39,4.5
268,2008-05-01,6.5,5.76,5.70,4.63
269,2008-06-01,6.54,5.78,6.07,4.94
270,2008-07-01,6.75,5.97,6.05,4.94
271,2008-08-01,6.75,5.96,5.97,4.69
272,2008-09-01,6.75,5.64,5.65,4.49
273,2008-10-01,6.45,4.38,4.58,4.17
274,2008-11-01,5.75,4.75,4.49,4.18
275,2008-12-01,5.14,3.50,3.22,3.77
276,2009-01-01,4.0,2.66,2.17,3.69
277,2009-02-01,3.58,2.40,2.03,3.75
278,2009-03-01,3.41,2.07,1.91,3.81
279,2009-04-01,3.0,1.92,1.84,3.9
280,2009-05-01,2.58,1.54,1.50,4.12
281,2009-06-01,2.39,1.54,1.67,4.23
282,2009-07-01,2.25,1.42,1.56,4.05
283,2009-08-01,2.25,1.47,1.87,4.17
284,2009-09-01,2.25,1.52,2.28,4.17
285,2009-10-01,2.27,1.73,2.32,4.07
286,2009-11-01,2.5,1.79,2.26,4.04
287,2009-12-01,2.61,1.84,2.27,3.98
288,2010-01-01,2.75,2.04,2.35,4.08
289,2010-02-01,2.75,2.05,2.21,3.87
290,2010-03-01,2.75,2.03,2.24,3.85
291,2010-04-01,2.75,2.15,2.29,3.84
292,2010-05-01,2.96,2.22,2.01,3.46
293,2010-06-01,3.0,2.26,2.20,3.36
294,2010-07-01,3.0,2.19,2.28,3.33
295,2010-08-01,3.0,2.24,2.35,3.12
296,2010-09-01,3.0,2.27,2.34,3.3
297,2010-10-01,3.0,2.21,2.22,3.24
298,2010-11-01,3.0,2.14,2.13,3.28
299,2010-12-01,3.0,2.20,2.29,3.61
300,2011-01-01,3.0,2.23,2.37,3.75
301,2011-02-01,3.0,2.23,2.43,3.81
302,2011-03-01,3.0,2.26,2.51,3.77
303,2011-04-01,3.0,2.33,2.59,3.79
304,2011-05-01,3.14,2.37,2.48,3.48
305,2011-06-01,3.25,2.30,2.33,3.36
306,2011-07-01,3.25,2.37,2.38,3.24
307,2011-08-01,3.25,2.04,1.90,2.6
308,2011-09-01,3.25,2.11,1.86,2.36
309,2011-10-01,3.25,2.00,1.88,2.59
310,2011-11-01,3.25,1.96,1.61,2.49
311,2011-12-01,2.99,1.44,1.19,2.38
312,2012-01-01,2.75,1.52,1.45,2.22
313,2012-02-01,2.75,1.71,1.63,2.4
314,2012-03-01,2.61,1.58,1.61,2.48
315,2012-04-01,2.5,1.54,1.53,2.34
316,2012-05-01,2.5,1.56,1.53,2.05
317,2012-06-01,2.5,1.49,1.48,1.94
318,2012-07-01,2.5,1.43,1.40,1.73
319,2012-08-01,2.5,1.48,1.46,1.92
320,2012-09-01,2.5,1.56,1.53,2.07
321,2012-10-01,2.5,1.64,1.60,1.98
322,2012-11-01,2.5,1.56,1.59,2.01
323,2012-12-01,2.5,1.50,1.58,2.08
324,2013-01-01,2.5,1.58,1.59,2.31
325,2013-02-01,2.5,1.62,1.64,2.49
326,2013-03-01,2.5,1.59,1.55,2.24
327,2013-04-01,2.5,1.62,1.51,2.07
328,2013-05-01,2.5,1.48,1.37,2.1
329,2013-06-01,2.5,1.44,1.41,2.4
330,2013-07-01,2.5,1.47,1.45,2.61
331,2013-08-01,2.5,1.52,1.54,2.84
332,2013-09-01,2.5,1.51,1.61,3.12
333,2013-10-01,2.5,1.55,1.61,2.95
334,2013-11-01,2.5,1.46,1.46,2.86
335,2013-12-01,2.5,1.38,1.40,2.94
336,2014-01-01,2.5,1.37,1.34,2.95
337,2014-02-01,2.5,1.40,1.37,2.85
338,2014-03-01,2.5,1.29,1.34,2.94
339,2014-04-01,2.5,1.31,1.37,2.88
340,2014-05-01,2.5,1.33,1.42,2.73
341,2014-06-01,2.5,1.14,1.30,2.61
342,2014-07-01,2.5,1.19,1.28,2.43
343,2014-08-01,2.5,1.20,1.30,2.36
344,2014-09-01,2.5,1.11,1.24,2.4
345,2014-10-01,2.5,1.27,1.25,2.21
346,2014-11-01,2.5,1.27,1.24,2.05
347,2014-12-01,2.36,1.04,1.02,1.77
348,2015-01-01,2.25,1.04,0.85,1.45
349,2015-02-01,2.25,0.92,0.77,1.39
350,2015-03-01,2.25,0.83,0.80,1.54
351,2015-04-01,2.25,0.99,0.85,1.44
352,2015-05-01,2.25,0.95,0.86,1.65
353,2015-06-01,2.16,0.86,0.80,1.77
354,2015-07-01,2.0,0.89,0.79,1.7
355,2015-08-01,2.0,0.83,0.69,1.49
356,2015-09-01,1.95,0.65,0.59,1.6
357,2015-10-01,1.75,0.67,0.60,1.57
358,2015-11-01,1.75,0.64,0.58,1.63
359,2015-12-01,1.75,0.57,0.55,1.55
360,2016-01-01,1.75,0.65,0.57,1.45
361,2016-02-01,1.75,0.65,0.54,1.39
362,2016-03-01,1.66,0.46,0.42,1.33
363,2016-04-01,1.5,0.50,0.45,1.3
364,2016-05-01,1.5,0.53,0.52,1.4
365,2016-06-01,1.5,0.56,0.51,1.17
366,2016-07-01,1.5,0.52,0.45,0.96
367,2016-08-01,1.5,0.49,0.48,1.07
368,2016-09-01,1.5,0.49,0.50,1.23
369,2016-10-01,1.5,0.48,0.49,1.34
370,2016-11-01,1.5,0.53,0.52,1.58
371,2016-12-01,1.5,0.54,0.55,1.76
372,2017-01-01,1.5,0.52,0.52,1.69
373,2017-02-01,1.5,0.50,0.52,1.74
374,2017-03-01,1.5,0.43,0.44,1.77
375,2017-04-01,1.5,0.45,0.45,1.61
376,2017-05-01,1.5,0.45,0.45,1.59
377,2017-06-01,1.5,0.37,0.41,1.53
378,2017-07-01,1.5,0.36,0.39,1.69
379,2017-08-01,1.5,0.36,0.40,1.62
380,2017-09-01,1.5,0.36,0.39,1.59
381,2017-10-01,1.5,0.38,0.40,1.66
382,2017-11-01,1.5,0.37,0.40,1.59
383,2017-12-01,1.5,0.26,0.32,1.57
384,2018-01-01,1.5,0.40,0.42,1.74
385,2018-02-01,1.5,0.43,0.48,1.98
386,2018-03-01,1.5,0.45,0.60,1.99
387,2018-04-01,1.5,0.55,0.70,1.93
388,2018-05-01,1.5,0.64,0.75,1.89
389,2018-06-01,1.5,0.66,0.74,1.82
390,2018-07-01,1.5,0.59,0.74,1.76
391,2018-08-01,1.5,0.61,0.75,1.77
392,2018-09-01,1.58,0.68,0.82,1.9
393,2018-10-01,1.75,0.75,0.88,2.0
394,2018-11-01,1.75,0.78,0.91,1.94
395,2018-12-01,1.75,0.70,0.88,1.83
